623735611,28/01/2004,"DELL","DELL","Precision 360","1ZV0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 2",,,
571473750,05/08/2001,"Dell","DELL","Optiplex Gx 150","2077L01","PIII 1.0GHz","128Mb","20Gb","Centro de Información",,,,
502103286,"01/19/2001","DELL","DELL","Poweredge 1400","20BKB01","PIII 800MHz","256 Mb","18 Gb","Centro de Cómputo","Lab. Huehuetenango",,,
867320046,01/07/2002,"DELL","DELL","Precision 340","20K3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
571473750,05/08/2001,"DELL","DELL","Optiplex GX 150","2177L01","PIII 1.0GHz","128Mb","20Gb","Escuela de Idiomas","Lic. Mericilinda de Herrera",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","21W0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 2",,,
867311284,01/07/2002,"DELL","DELL","Precision 340","24FZL11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
,,,"Dell","Optiplex Gx1","24Z59",,,,"Auditoria","Bancos",,,
,,,"DELL","Optiplex G1","24Z5M","PIII 500MHz","256Mb","40Gb","Facultad de Derecho","Mirta Dávila",,,
,,,"DELL","Optiplex G1","24Z5W","PIII 500MHz","256Mb","40Gb","Contabilidad",,,12/08/2005,
502105745,23/01/2001,"DELL","DELL","Latitude C600","25JWB01","PIII 750MHz","128Mb","10Gb","Ya no Sirve","Equipo Robado",,,
502105745,23/01/2001,"DELL","DELL","Latitude C600","27JWB01","PIII 750MHz","128Mb","10Gb","Auditoria",,,,
502104789,"01/24/2001","Dell","DELL","Optiplex Gx 150","2BWWB01","PIII 933GHz","128Mb","20Gb","Centro de Información",,,,
867322877,02/07/2002,"DELL","DELL","Precision 340","2GK3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
867318891,28/06/2002,"DELL","DELL","Precision 340","2GW0M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
502104060,"01/24/2001","DELL","DELL","Optiplex Gx 150","2K3YB01","PIII 933GHz","128Mb","20Gb","POES",,,,
623735611,28/01/2004,"DELL","DELL","Precision 360","2MW0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 2",,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","2MY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
502104060,"01/24/2001","DELL","DELL","Optiplex Gx 150","2N3YB01","PIII 933GHz","128Mb","20Gb","Tesoreria","Amarely González",,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","2NY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
502104060,"01/24/2010","Dell","DELL","Optiplex Gx 150","2P3YB01","PIII 933GHz","128Mb","20Gb","Tesoreria","Angelica Ramirez",,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","2PY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
,,,,"Inspiron 2650","2QF1F21",,,,"Medicina","Dra. Fion",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","2VX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
867316333,28/06/2002,"DELL","DELL","Precision 340","2WSXL11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","2XK1D61","P4 3.0 GHz","2.0 Gb","80 Gb","Centro de Cómputo","Telecomunicaciones",,,
571473750,05/08/2001,"Dell","DELL","Optiplex Gx 150","2Y67L01","PIII 1.0GHz","128Mb","20Gb","Mineduc","Ivette Urizar","Mail Estudiantes",,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","2YX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Chiquimula",,,
571473750,05/08/2001,"Dell","DELL","Optiplex GX 150","2Z67L01","PIII 1.0GHz","128Mb","20Gb","CR. Quetzaltenango",,,,
502103286,"01/19/2001","Dell","DELL","Poweredge 1400","30BKB01","PIII 800MHz","256 Mb","18 Gb","Centro de Cómputo","Lab. San Marcos",,,
571473750,05/08/2001,"DELL","DELL","Optiplex GX 150","3177L01","PIII 1.0GHz","128Mb","20Gb","Casa de Campo",,,,
867323933,01/07/2002,"DELL","DELL","Precision 340","33L3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
867311284,01/07/2002,"DELL","DELL","Precision 340","34FZL11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
867320046,01/07/2002,"DELL","DELL","Precision 340","34K3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
867311284,01/07/2002,"DELL","DELL","Precision 340","35FZL11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
502105745,23/01/2001,"DELL","DELL","Latitude C600","36JWB01","PIII 750MHz","128Mb","10Gb","Ya no Sirve","Auditoria",,,
502104789,"01/24/2001","Dell","DELL","Optiplex Gx 150","37WWB01","PIII 933GHz","128Mb","20Gb","Centro de Cómputo","Soporte",,,
867321374,01/07/2002,"DELL","DELL","Precision 340","39K3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3","Diego Boch",,
502104789,"01/24/2001","DELL","DELL","Optiplex Gx 150","3CWWB01","PIII 933GHz","128Mb","20Gb","Contabilidad",,,,
,,"DELL","DELL","Latitiude C600","3DLKW01",,,,"Auditoria",,,,
867322877,02/07/2002,"DELL","DELL","Precision 340","3FK3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
867328254,01/07/2002,"DELL","DELL","Precision 340","3GL3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
867318891,28/06/2002,"DELL","DELL","Precision 340","3GW0M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
502104060,"01/24/2001","DELL","DELL","Optiplex Gx 150","3J3YB01","PIII 933GHz","128Mb","20Gb","Centro de Ingreso de Notas",,,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","3K01D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Chiquimula",,,
502104060,"01/24/2004","Dell","DELL","Optiplex Gx 150","3K3YB01","PIII 933GHz","128Mb","20Gb","Centros Regionales","Olivia Gutierrez",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","3KW0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 2",,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","3KY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Chiquimula",,,
502104060,"01/24/2006","DELL","DELL","Optiplex Gx 150","3L3YB01","PIII 933GHz","128Mb","20Gb","Centro de Ingreso de Notas",,,,
867329245,02/07/2002,"DELL","DELL","Precision 340","3LN3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","3LY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
502104060,"01/24/2001","Dell","DELL","Optiplex Gx 150","3M3YB01","PIII 933GHz","128Mb","20Gb","Secretaria General","Sara Quinteros",,,
867329245,02/07/2002,"DELL","DELL","Precision 340","3MN3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,30/03/2005,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","3NY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
877678557,14/07/2002,"DELL","DELL","OptiPlex GX 260T","3PQ2N11","P4 1.8GHz","256 Mb","40 Gb","Facultad de Odontologia",,,,
"C51165447",19/12/2004,"Dell","DELL","Optiplex Gx 280","3PY0D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Huehuetenango",,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","3VK1D61","P4 3.0 GHz","2.0 Gb","80 Gb","Centro de Cómputo","Lab. San Marcos",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","3WX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","3XK1D61","P4 3.0 GHz","2.0 Gb","80 Gb","Centro de Cómputo","Lab. San Marcos",,,
"C51171153",19/12/2004,"Dell","DELL","Optiplex Gx 280","3XX1D61","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Lab. Quetzaltenango",,,
571473750,05/08/2001,"DELL","DELL","Optiplex Gx 150","3Y67L01","PIII 1.0GHz","128Mb","20Gb","Centro de Ingreso de Notas",,,,
"C51724179",19/12/2004,"Dell","DELL","Optiplex Gx 280","3YK1D61","P4 3.0 GHz","2.0 Gb","80 Gb","Centro de Cómputo","Lab. San Marcos",,,
867316333,28/06/2002,"DELL","DELL","Precision 340","3YSXL11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
571473750,05/08/2001,"DELL","DELL","Optiplex Gx 150","3Z67L01","PIII 1.0GHz","128Mb","20Gb","Desarrollo",,,,
623735611,28/01/2004,"DELL","DELL","Precision 360","3ZV0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 5",,,
